loan_id,loan_status,loan_amnt,funded_amnt,interest_rate,monthly_payment,term,grade,sub_grade,dti,delinq_2yrs,inquiries_6mo,public_records,revolving_utilization,open_accounts,total_accounts,purpose,home_ownership,state,earliest_cr_Line,employment_length,annual_income,verification_status,VAR24,recoveries,total_rec_prncp,default_flag,_LEVEL_,pred_prob,Fair Rate ,Grade implied rate
21544,Fully Paid,15000,15000,11.8,332.16,60 months,B,B4,10.89,0,0,0,29.6,11,19,debt_consolidation,MORTGAGE,VA,JUL2001,10+ years,52000,Not Verified,15000,0,15000,0,1,0.1016751964,0.11197361496737897,0.12551628685844768
21714,Fully Paid,11500,11500,10.72,374.98,36 months,B,B2,13.13,0,0,0,50.4,9,17,credit_card,MORTGAGE,LA,SEP2009,2 years,58500,Source Verified,11500,0,11500,0,1,0.1090052388,0.11499960742459307,0.12551628685844768
21741,Fully Paid,20000,20000,27.27,613.94,60 months,E,E5,21.5,2,0,0,49.1,11,20,debt_consolidation,MORTGAGE,CA,SEP2006,5 years,85000,Not Verified,20000,0,20000,0,1,0.4100790916,0.2754100582498778,0.26321838497840144
21754,Fully Paid,40000,40000,11.8,1324.76,36 months,B,B4,19.09,0,0,1,86.2,7,17,debt_consolidation,RENT,CT,AUG2005,8 years,100000,Source Verified,40000,0,40000,0,1,0.2239145938,0.1624365556055937,0.12551628685844768
21811,Fully Paid,35000,35000,10.72,756.11,60 months,B,B2,12.12,0,0,0,2.4,11,46,credit_card,MORTGAGE,WA,DEC2000,10+ years,138000,Not Verified,35000,0,35000,0,1,0.0987591157,0.1107697968008118,0.12551628685844768
21880,Fully Paid,15000,15000,18.94,549.39,36 months,D,D2,9.84,2,0,1,42.2,10,19,debt_consolidation,MORTGAGE,FL,DEC1994,5 years,90000,Not Verified,15000,0,15000,0,1,0.2344169012,0.1787837738234919,0.21124155917823043
21891,Fully Paid,19975,19975,15.02,475.42,60 months,C,C3,9.6,0,2,0,11.6,10,51,credit_card,OWN,CA,JUN2004,5 years,280000,Verified,19975,0,19975,0,1,0.1643129886,0.14412845121608286,0.1715567968159956
21929,Fully Paid,21000,21000,6.46,643.25,36 months,A,A1,18.39,0,0,0,29.6,16,33,credit_card,OWN,CA,MAY2008,1 year,61080,Source Verified,21000,0,21000,0,1,0.0748815095,0.0985237635739908,0.09318522201240317
21938,Fully Paid,27500,27500,11.8,608.95,60 months,B,B4,22.45,0,3,0,19.3,19,30,debt_consolidation,MORTGAGE,FL,OCT2002,2 years,75000,Source Verified,27500,0,27500,0,1,0.1742154146,0.14191971092964312,0.12551628685844768
21944,Fully Paid,20000,20000,20.89,539.84,60 months,D,D4,19.83,0,0,0,54.8,11,30,credit_card,MORTGAGE,OH,OCT2007,10+ years,90000,Verified,20000,0,20000,0,1,0.2733575949,0.1968546364375169,0.21124155917823043
22014,Fully Paid,4200,4200,6.46,128.65,36 months,A,A1,16.2,0,0,0,9.1,10,29,credit_card,MORTGAGE,TX,APR2006,10+ years,81000,Not Verified,4200,0,4200,0,1,0.0379864807,0.08446975897961519,0.09318522201240317
22015,Fully Paid,23500,23500,10.33,503.13,60 months,B,B1,10.78,0,1,1,8.2,12,28,home_improvement,MORTGAGE,IN,APR1988,8 years,69000,Not Verified,23500,0,23500,0,1,0.1102943373,0.1155317738330174,0.12551628685844768
22054,Fully Paid,3900,3900,17.97,140.94,36 months,D,D1,9.67,0,1,0,52,7,13,credit_card,OWN,AL,NOV2001,3 years,28800,Not Verified,3900,0,3900,0,1,0.214294723,0.1694458529187308,0.21124155917823043
22291,Fully Paid,3000,3000,7.56,93.41,36 months,A,A3,12.15,0,2,1,2.7,21,40,debt_consolidation,MORTGAGE,WA,JUN2000,2 years,65000,Not Verified,3000,0,3000,0,1,0.0426444292,0.08624405843806594,0.09318522201240317
22322,Fully Paid,16500,16500,16.91,587.54,36 months,C,C5,21.84,1,0,0,7.1,11,24,debt_consolidation,RENT,NY,DEC2001,10+ years,56000,Source Verified,16500,0,16500,0,1,0.3133792065,0.2113784474319397,0.1715567968159956
22326,Fully Paid,15000,15000,15.02,520.13,36 months,C,C3,17.34,1,0,0,9.7,16,42,home_improvement,OWN,OH,AUG2004,n/a,60000,Not Verified,15000,0,15000,0,1,0.3015967204,0.20606287589064018,0.1715567968159956
22332,Fully Paid,3000,3000,18.94,109.88,36 months,D,D2,7.05,0,0,0,18.4,10,20,major_purchase,MORTGAGE,NY,JUN1996,4 years,750000,Source Verified,3000,0,3000,0,1,0.2226511804,0.17332376004536612,0.21124155917823043
22367,Fully Paid,27000,27000,14.47,928.98,36 months,C,C2,2.45,0,1,1,18.8,17,29,credit_card,MORTGAGE,NJ,JAN2011,10+ years,145000,Source Verified,27000,0,27000,0,1,0.189593948,0.15553374778786386,0.1715567968159956
22395,Fully Paid,13250,13250,11.8,293.41,60 months,B,B4,11.24,0,0,0,12.9,15,24,car,MORTGAGE,KY,MAR2004,10+ years,110000,Not Verified,13250,0,13250,0,1,0.0919791457,0.10797088555847875,0.12551628685844768
22494,Fully Paid,20000,20000,22.35,556.37,60 months,D,D5,19.03,1,2,0,23.6,17,47,debt_consolidation,MORTGAGE,IL,AUG2004,5 years,95000,Source Verified,20000,0,20000,0,1,0.3146772689,0.21602949135568447,0.21124155917823043
22582,Fully Paid,40000,40000,6.46,1225.24,36 months,A,A1,14.71,0,2,0,40.6,9,21,debt_consolidation,RENT,CT,JUN2004,1 year,110000,Source Verified,40000,0,40000,0,1,0.101128709,0.1085218113966962,0.09318522201240317
22593,Fully Paid,10000,10000,20.89,376.19,36 months,D,D4,3.79,1,1,1,2.5,10,31,medical,MORTGAGE,MT,JUN1996,10+ years,71000,Source Verified,10000,0,10000,0,1,0.2356780642,0.1793690305598631,0.21124155917823043
22628,Fully Paid,14400,14400,15.02,342.73,60 months,C,C3,21.31,0,0,1,33.2,9,32,credit_card,MORTGAGE,TN,DEC2006,2 years,53000,Not Verified,14400,0,14400,0,1,0.1666720536,0.14519272395713667,0.1715567968159956
22717,Fully Paid,15000,15000,16.91,534.12,36 months,C,C5,10.21,0,0,0,63,21,32,other,RENT,MA,OCT2004,3 years,68000,Source Verified,15000,0,15000,0,1,0.2699587514,0.19178966680610626,0.1715567968159956
22769,Fully Paid,3000,3000,10.33,97.27,36 months,B,B1,9.6,0,0,1,25,9,16,house,OWN,MN,JUL1992,n/a,22000,Not Verified,3000,0,3000,0,1,0.1271156349,0.12247595189918432,0.12551628685844768
22780,Fully Paid,8000,8000,12.98,269.48,36 months,B,B5,23.93,0,1,0,17.8,11,33,debt_consolidation,RENT,FL,OCT2007,10+ years,65000,Not Verified,8000,0,8000,0,1,0.1470737184,0.1307150597836693,0.12551628685844768
22787,Fully Paid,12000,12000,20.89,451.43,36 months,D,D4,0.64,0,1,0,2.2,11,15,other,ANY,NY,JAN2011,< 1 year,60000,Source Verified,12000,0,12000,0,1,0.2581207594,0.1897838132232659,0.21124155917823043
22840,Fully Paid,8500,8500,11.31,279.53,36 months,B,B3,26.72,0,0,0,15.2,8,22,medical,MORTGAGE,MS,JUL1998,8 years,41600,Not Verified,8500,0,8500,0,1,0.1240159089,0.12119632117079586,0.12551628685844768
22903,Fully Paid,15000,15000,7.02,463.3,36 months,A,A2,8.87,0,0,0,0.8,5,12,house,MORTGAGE,IL,OCT2007,10+ years,80000,Not Verified,15000,0,15000,0,1,0.036008192,0.08371619191697607,0.09318522201240317
22926,Fully Paid,4400,4400,8.81,139.54,36 months,A,A5,2.08,0,0,0,16.6,5,10,other,MORTGAGE,NV,JAN2011,10+ years,60000,Not Verified,4400,0,4400,0,1,0.033637912,0.08281330805718744,0.09318522201240317
23170,Fully Paid,3300,3300,24.37,130.12,36 months,E,E2,3,0,0,0,87,2,4,moving,RENT,AZ,DEC2002,n/a,24000,Source Verified,3300,0,3300,0,1,0.444228249,0.2925154912124547,0.26321838497840144
23178,Fully Paid,11500,11500,14.47,270.4,60 months,C,C2,6.67,0,1,0,22.9,14,36,debt_consolidation,RENT,TX,FEB2005,< 1 year,70000,Not Verified,11500,0,11500,0,1,0.1890900669,0.15530642598051128,0.1715567968159956
23285,Fully Paid,32000,32000,12.98,727.78,60 months,B,B5,8.17,0,0,0,35.6,8,21,other,MORTGAGE,CA,SEP2000,10+ years,170000,Not Verified,32000,0,32000,0,1,0.1076441901,0.11443773849187024,0.12551628685844768
23300,Fully Paid,9600,9600,11.8,317.95,36 months,B,B4,22.19,0,0,0,84.7,19,28,medical,MORTGAGE,SC,JUL1987,10+ years,105000,Not Verified,9600,0,9600,0,1,0.1267455511,0.1223231736850587,0.12551628685844768
23475,Fully Paid,32425,32425,15.02,771.73,60 months,C,C3,17.93,0,0,1,24.6,13,23,debt_consolidation,MORTGAGE,NJ,MAR2005,8 years,113300,Source Verified,32425,0,32425,0,1,0.2628389732,0.1885776375230601,0.1715567968159956
23507,Fully Paid,1000,1000,27.27,40.98,36 months,E,E5,17.03,0,1,0,57.9,53,70,other,RENT,SC,AUG1987,5 years,72000,Verified,1000,0,1000,0,1,0.4974411699,0.3191700303138458,0.26321838497840144
23649,Fully Paid,30000,30000,11.8,664.31,60 months,B,B4,14.38,0,0,0,21.8,10,23,debt_consolidation,MORTGAGE,FL,MAR2007,6 years,68000,Not Verified,30000,0,30000,0,1,0.121770496,0.12026936848376484,0.12551628685844768
23781,Fully Paid,10000,10000,8.19,314.25,36 months,A,A4,6.49,1,0,0,50.5,8,13,credit_card,RENT,NJ,JAN2009,3 years,550000,Source Verified,10000,0,10000,0,1,0.0702307087,0.09675218680778087,0.09318522201240317
23796,Fully Paid,1500,1500,8.19,47.14,36 months,A,A4,22.12,0,0,0,25.6,11,22,medical,RENT,PA,DEC2003,10+ years,70000,Source Verified,1500,0,1500,0,1,0.0832881072,0.10172599342829755,0.09318522201240317
23800,Fully Paid,4000,4000,19.92,148.5,36 months,D,D3,17.36,0,0,0,86.3,14,33,debt_consolidation,MORTGAGE,WA,JUL2003,6 years,100000,Source Verified,4000,0,4000,0,1,0.2424117477,0.1824938713845356,0.21124155917823043
23806,Fully Paid,8000,8000,8.81,253.7,36 months,A,A5,12.91,0,0,1,16,6,19,debt_consolidation,MORTGAGE,GA,FEB2007,10+ years,90000,Source Verified,8000,0,8000,0,1,0.0504403824,0.08921368241327035,0.09318522201240317
23879,Fully Paid,10000,10000,8.19,314.25,36 months,A,A4,19.19,0,0,0,18.3,13,27,credit_card,RENT,NY,JUL2009,4 years,95000,Not Verified,10000,0,10000,0,1,0.0696575736,0.09653386895872154,0.09318522201240317
23889,Fully Paid,30000,30000,11.31,656.93,60 months,B,B3,16.43,0,0,0,31.7,7,23,debt_consolidation,MORTGAGE,GA,DEC2006,10+ years,65000,Verified,30000,0,30000,0,1,0.1258310859,0.12194566361805216,0.12551628685844768
23900,Fully Paid,35000,35000,16.14,1232.92,36 months,C,C4,12.08,0,0,1,30.1,12,13,home_improvement,MORTGAGE,KY,FEB2011,10+ years,110000,Not Verified,35000,0,35000,0,1,0.236848212,0.17685211971647172,0.1715567968159956
23919,Fully Paid,10000,10000,11.31,328.86,36 months,B,B3,13.17,2,0,0,40.9,4,19,debt_consolidation,RENT,OH,MAY2011,2 years,36000,Source Verified,10000,0,10000,0,1,0.1472494618,0.1307876102784393,0.12551628685844768
23984,Fully Paid,3025,3025,7.56,94.18,36 months,A,A3,9.01,0,0,0,8,9,9,debt_consolidation,RENT,GA,SEP2013,1 year,55400,Verified,3025,0,3025,0,1,0.0656377038,0.09500262557782489,0.09318522201240317
24035,Fully Paid,15000,15000,13.56,345.62,60 months,C,C1,13.68,0,0,0,14.1,6,12,debt_consolidation,RENT,PA,APR2008,4 years,40000,Source Verified,15000,0,15000,0,1,0.2473727433,0.1816001753126328,0.1715567968159956
24061,Fully Paid,21000,21000,26.31,632.61,60 months,E,E4,29.22,0,0,0,78,9,11,debt_consolidation,OWN,IL,MAR1980,10+ years,86000,Verified,21000,0,21000,0,1,0.4839242641,0.31239936469199453,0.26321838497840144
24073,Fully Paid,7000,7000,12.98,235.8,36 months,B,B5,12.07,4,1,0,41.2,9,23,debt_consolidation,MORTGAGE,NJ,OCT2002,6 years,120000,Not Verified,7000,0,7000,0,1,0.1072696218,0.11428310898379106,0.12551628685844768
24174,Fully Paid,6000,6000,19.92,222.74,36 months,D,D3,11.42,0,1,1,40.9,12,26,debt_consolidation,RENT,CO,AUG1995,n/a,60000,Not Verified,6000,0,6000,0,1,0.3748502001,0.24395341025593717,0.21124155917823043
24224,Fully Paid,15000,15000,22.35,417.28,60 months,D,D5,14.61,0,0,0,0,3,24,debt_consolidation,OWN,PA,MAR1988,n/a,29000,Not Verified,15000,0,15000,0,1,0.366381816,0.24002356229758162,0.21124155917823043
24233,Fully Paid,25000,25000,12.98,568.58,60 months,B,B5,8.4,0,0,0,66.1,6,28,debt_consolidation,MORTGAGE,CA,MAR1998,4 years,120000,Source Verified,25000,0,25000,0,1,0.1130028,0.11664988301351077,0.12551628685844768
24262,Fully Paid,5000,5000,18.94,183.13,36 months,D,D2,16.06,0,1,1,62.9,12,40,debt_consolidation,MORTGAGE,WA,JAN2008,5 years,39000,Source Verified,5000,0,5000,0,1,0.218966063,0.17161364027284767,0.21124155917823043
24373,Fully Paid,7200,7200,13.56,244.55,36 months,C,C1,11.9,0,0,0,27.6,3,16,debt_consolidation,OWN,IL,SEP2006,10+ years,60000,Not Verified,7200,0,7200,0,1,0.1519154337,0.1385353964525268,0.1715567968159956
24464,Fully Paid,25000,25000,10.33,535.25,60 months,B,B1,24.09,0,1,0,18.6,29,51,house,MORTGAGE,VA,FEB1994,< 1 year,75000,Not Verified,25000,0,25000,0,1,0.1285710732,0.12307678680264143,0.12551628685844768
24469,Fully Paid,18000,18000,19.92,668.22,36 months,D,D3,7.25,0,2,1,35.2,23,50,debt_consolidation,MORTGAGE,GA,JUL2007,10+ years,46000,Verified,18000,0,18000,0,1,0.2354532627,0.1792647089200581,0.21124155917823043
24540,Fully Paid,20000,20000,10.33,648.45,36 months,B,B1,16.01,0,0,0,28.5,27,47,debt_consolidation,MORTGAGE,CA,NOV2006,10+ years,115000,Not Verified,20000,0,20000,0,1,0.1172585721,0.11840675337952969,0.12551628685844768
24667,Fully Paid,15000,15000,7.02,463.3,36 months,A,A2,12.13,0,0,0,14.6,8,22,car,MORTGAGE,CA,MAR1997,10+ years,90000,Not Verified,15000,0,15000,0,1,0.0375942655,0.08432035689477974,0.09318522201240317
24738,Fully Paid,4800,4800,11.31,157.86,36 months,B,B3,3.4,1,0,0,13.9,5,33,debt_consolidation,MORTGAGE,CA,NOV1997,6 years,55000,Source Verified,4800,0,4800,0,1,0.076921106,0.101754616665869,0.12551628685844768
24816,Fully Paid,20000,20000,11.8,442.88,60 months,B,B4,33.64,0,0,1,17.5,9,15,home_improvement,OWN,FL,JUN2003,10+ years,38000,Verified,20000,0,20000,0,1,0.2000560254,0.15258724722801503,0.12551628685844768
24819,Fully Paid,18000,18000,12.98,409.38,60 months,B,B5,15.5,0,1,1,19.6,28,83,debt_consolidation,MORTGAGE,WI,FEB1996,< 1 year,125000,Not Verified,18000,0,18000,0,1,0.1000655601,0.11130912395397664,0.12551628685844768
24847,Fully Paid,10000,10000,8.81,317.12,36 months,A,A5,11.15,0,0,0,77.5,6,22,credit_card,RENT,IL,AUG1994,10+ years,100439,Not Verified,10000,0,10000,0,1,0.0538026697,0.09049444035543004,0.09318522201240317
24858,Fully Paid,12000,12000,11.8,397.43,36 months,B,B4,6.12,2,1,0,17.4,14,28,other,RENT,NC,JUN2005,4 years,155000,Source Verified,12000,0,12000,0,1,0.1468276558,0.13061348007498952,0.12551628685844768
24935,Fully Paid,15000,15000,7.56,467.01,36 months,A,A3,11,0,1,0,6,7,36,debt_consolidation,OWN,NM,AUG2005,10+ years,78000,Not Verified,15000,0,15000,0,1,0.0442228582,0.08684531148324301,0.09318522201240317
24951,Fully Paid,2500,2500,6.46,76.58,36 months,A,A1,14.75,0,0,0,15.8,7,14,debt_consolidation,OWN,CT,APR2005,1 year,19200,Not Verified,2500,0,2500,0,1,0.0491438644,0.08871981452587922,0.09318522201240317
24972,Fully Paid,12000,12000,18.94,439.51,36 months,D,D2,7.39,0,1,0,29.7,28,37,other,MORTGAGE,RI,JUL2007,4 years,51000,Verified,12000,0,12000,0,1,0.2476337061,0.1849171793396929,0.21124155917823043
24988,Fully Paid,5000,5000,14.47,172.04,36 months,C,C2,29.11,0,0,0,85.2,13,39,home_improvement,RENT,PA,AUG2004,3 years,90000,Source Verified,5000,0,5000,0,1,0.2670034792,0.19045642009825625,0.1715567968159956
25026,Fully Paid,10000,10000,8.19,203.68,60 months,A,A4,9.73,0,2,0,6,12,48,debt_consolidation,MORTGAGE,CO,JAN1996,10+ years,135500,Not Verified,10000,0,10000,0,1,0.035144991,0.08338738255662481,0.09318522201240317
25028,Fully Paid,27000,27000,13.56,622.11,60 months,C,C1,5.47,0,0,0,26.8,13,23,debt_consolidation,MORTGAGE,CO,OCT2006,9 years,98000,Verified,27000,0,27000,0,1,0.1853948496,0.15363935913637575,0.1715567968159956
25071,Fully Paid,13000,13000,10.72,423.89,36 months,B,B2,9.36,0,0,0,40.1,4,16,debt_consolidation,OWN,MA,FEB2005,9 years,50000,Not Verified,13000,0,13000,0,1,0.101306662,0.11182147637748159,0.12551628685844768
25079,Fully Paid,10000,10000,17.97,253.78,60 months,D,D1,2.18,0,1,0,2,8,19,debt_consolidation,RENT,TX,NOV2006,2 years,33000,Not Verified,10000,0,10000,0,1,0.2331948431,0.17821666415149712,0.21124155917823043
25085,Fully Paid,24000,24000,18.94,879.02,36 months,D,D2,9.62,0,0,0,51.7,10,12,major_purchase,RENT,AL,DEC2012,3 years,110000,Not Verified,24000,0,24000,0,1,0.3304925936,0.22336876892612736,0.21124155917823043
25149,Fully Paid,35000,35000,8.19,1099.85,36 months,A,A4,8.54,0,0,0,34.6,5,13,debt_consolidation,RENT,NC,JUN2001,10+ years,51000,Source Verified,35000,0,35000,0,1,0.0881556438,0.1035801289030391,0.09318522201240317
25221,Fully Paid,15000,15000,14.47,516.1,36 months,C,C2,5.85,0,1,0,27.7,8,8,other,RENT,NY,DEC2014,8 years,70000,Source Verified,15000,0,15000,0,1,0.2347518019,0.17590634156983312,0.1715567968159956
25276,Fully Paid,15000,15000,13.56,345.62,60 months,C,C1,25.62,0,1,0,13.8,11,35,other,MORTGAGE,GA,SEP2000,10+ years,95000,Not Verified,15000,0,15000,0,1,0.1660746632,0.14492321619940757,0.1715567968159956
25328,Fully Paid,8000,8000,23.4,311.35,36 months,E,E1,40.74,10,1,0,88.1,13,29,major_purchase,MORTGAGE,TX,MAR1994,10+ years,119000,Verified,8000,0,8000,0,1,0.5126389613,0.32678265744039175,0.26321838497840144
25366,Fully Paid,5000,5000,15.02,173.38,36 months,C,C3,4.65,0,0,0,52.5,4,5,debt_consolidation,RENT,TX,JAN2015,4 years,31200,Not Verified,5000,0,5000,0,1,0.1799772728,0.15119526399240743,0.1715567968159956
25381,Fully Paid,25200,25200,10.72,544.4,60 months,B,B2,36.9,1,0,0,10.2,6,24,other,MORTGAGE,FL,JAN2003,2 years,48000,Verified,25200,0,25200,0,1,0.1571020713,0.13485497038414293,0.12551628685844768
25404,Fully Paid,5200,5200,16.91,185.17,36 months,C,C5,21.27,0,2,0,41.4,13,29,debt_consolidation,OWN,IL,DEC2008,5 years,72575,Source Verified,5200,0,5200,0,1,0.2383381047,0.17752427253451827,0.1715567968159956
25422,Fully Paid,3600,3600,11.31,118.39,36 months,B,B3,4.52,0,0,0,5.7,17,49,home_improvement,OWN,MO,JUL2007,10+ years,80000,Source Verified,3600,0,3600,0,1,0.0991983113,0.11095110578926207,0.12551628685844768
25514,Fully Paid,10000,10000,8.81,317.12,36 months,A,A5,4.76,0,0,0,21.3,4,6,credit_card,OWN,PA,AUG2010,4 years,30000,Verified,10000,0,10000,0,1,0.0522442354,0.08990080366440156,0.09318522201240317
25630,Fully Paid,24000,24000,12.98,545.83,60 months,B,B5,22.62,0,0,0,82.7,10,12,debt_consolidation,OWN,CA,MAR1990,10+ years,60000,Source Verified,24000,0,24000,0,1,0.191122126,0.1488991495714572,0.12551628685844768
25691,Fully Paid,15000,15000,13.56,345.62,60 months,C,C1,3.63,0,1,0,33.2,13,16,credit_card,RENT,AZ,JAN2012,n/a,94600,Source Verified,15000,0,15000,0,1,0.3204205034,0.21455507052301045,0.1715567968159956
25722,Fully Paid,9500,9500,11.8,314.63,36 months,B,B4,11.33,0,1,0,36.6,12,25,debt_consolidation,RENT,CA,FEB2006,10+ years,63000,Not Verified,9500,0,9500,0,1,0.1260389392,0.12203146974081171,0.12551628685844768
25744,Fully Paid,28800,28800,19.92,1069.14,36 months,D,D3,9.09,0,0,0,71,11,21,debt_consolidation,MORTGAGE,LA,FEB2004,2 years,140000,Source Verified,28800,0,28800,0,1,0.2864780598,0.20294333430372977,0.21124155917823043
25815,Fully Paid,5000,5000,25.34,199.7,36 months,E,E3,16.8,0,1,0,96.9,10,19,other,MORTGAGE,NJ,FEB1995,8 years,225000,Not Verified,5000,0,5000,0,1,0.2937096944,0.21712021819953184,0.26321838497840144
25831,Fully Paid,28800,28800,20.89,1083.42,36 months,D,D4,11.78,0,2,0,41.3,12,17,debt_consolidation,RENT,CA,MAY1987,< 1 year,70000,Source Verified,28800,0,28800,0,1,0.410807375,0.26063973774183835,0.21124155917823043
25840,Fully Paid,31200,31200,10.72,674.02,60 months,B,B2,14.76,0,1,1,10.5,16,32,debt_consolidation,MORTGAGE,IL,APR2002,10+ years,124000,Source Verified,31200,0,31200,0,1,0.1440820025,0.12948001784891494,0.12551628685844768
25897,Fully Paid,6000,6000,8.81,190.27,36 months,A,A5,33.86,0,0,0,17.9,10,20,credit_card,RENT,CA,DEC2002,n/a,19000,Not Verified,6000,0,6000,0,1,0.1336681605,0.12091669536218756,0.09318522201240317
25946,Fully Paid,8000,8000,18.94,293.01,36 months,D,D2,15.35,0,0,0,43.8,17,22,credit_card,RENT,MA,SEP2004,3 years,85000,Source Verified,8000,0,8000,0,1,0.3480197782,0.23150245414902973,0.21124155917823043
25980,Fully Paid,20000,20000,20.89,539.84,60 months,D,D4,26.93,1,0,0,43.1,9,26,debt_consolidation,MORTGAGE,NC,OCT2002,10+ years,63000,Source Verified,20000,0,20000,0,1,0.3331378036,0.22459630808769207,0.21124155917823043
26018,Fully Paid,14600,14600,11.8,483.54,36 months,B,B4,8.81,1,0,0,42.4,7,18,debt_consolidation,MORTGAGE,HI,MAY1998,10+ years,91000,Not Verified,14600,0,14600,0,1,0.0944803318,0.10900342668984912,0.12551628685844768
26040,Fully Paid,6400,6400,10.33,207.51,36 months,B,B1,36.96,1,0,0,79.4,6,13,home_improvement,MORTGAGE,TX,NOV2001,6 years,41600,Source Verified,6400,0,6400,0,1,0.1567928488,0.1347273169680316,0.12551628685844768
26055,Fully Paid,1600,1600,11.8,53,36 months,B,B4,14.04,2,1,0,22.4,7,39,debt_consolidation,MORTGAGE,MO,OCT2002,7 years,40000,Source Verified,1600,0,1600,0,1,0.092504543,0.10818778038392214,0.12551628685844768
26068,Fully Paid,5000,5000,7.02,154.44,36 months,A,A2,8.2,0,2,0,14.9,13,35,major_purchase,RENT,IN,SEP2007,3 years,82000,Not Verified,5000,0,5000,0,1,0.0518317422,0.08974367731116374,0.09318522201240317
26077,Fully Paid,15000,15000,12.98,341.15,60 months,B,B5,14.59,0,0,0,22.4,17,37,house,MORTGAGE,MI,DEC2004,10+ years,97000,Source Verified,15000,0,15000,0,1,0.1099107811,0.1153734339347219,0.12551628685844768
26193,Fully Paid,9000,9000,10.33,291.81,36 months,B,B1,11.39,0,0,0,34.3,5,8,debt_consolidation,RENT,GA,APR2014,1 year,45000,Not Verified,9000,0,9000,0,1,0.1255488547,0.1218291527664382,0.12551628685844768
26216,Fully Paid,1400,1400,8.81,44.4,36 months,A,A5,10.2,0,1,0,5.9,15,38,major_purchase,RENT,FL,MAR2006,10+ years,85000,Source Verified,1400,0,1400,0,1,0.0642941274,0.09449083226819358,0.09318522201240317
26260,Fully Paid,11000,11000,10.33,235.51,60 months,B,B1,16.03,1,0,0,5.9,11,25,home_improvement,MORTGAGE,GA,FEB1997,4 years,65000,Not Verified,11000,0,11000,0,1,0.1063064282,0.11388548282975451,0.12551628685844768
26414,Fully Paid,1500,1500,14.47,51.61,36 months,C,C2,19.79,0,0,0,89.5,6,11,other,MORTGAGE,MD,AUG1991,10+ years,75000,Source Verified,1500,0,1500,0,1,0.1679229701,0.14575706463121071,0.1715567968159956
26454,Fully Paid,8000,8000,8.81,253.7,36 months,A,A5,4.18,1,0,1,23.6,12,19,debt_consolidation,OWN,TX,SEP2010,7 years,59500,Not Verified,8000,0,8000,0,1,0.0506428656,0.08929081204063857,0.09318522201240317
26496,Fully Paid,4200,4200,8.19,131.99,36 months,A,A4,10.75,0,0,0,17,11,15,credit_card,MORTGAGE,NY,AUG2007,2 years,75000,Not Verified,4200,0,4200,0,1,0.0431110448,0.08642180102289372,0.09318522201240317
26536,Fully Paid,18000,18000,14.47,619.32,36 months,C,C2,13.05,1,0,0,42.9,16,28,debt_consolidation,RENT,MA,SEP2004,5 years,88400,Not Verified,18000,0,18000,0,1,0.2407819374,0.17862678752512093,0.1715567968159956
26599,Fully Paid,10000,10000,11.31,328.86,36 months,B,B3,1.73,0,1,0,3,7,29,other,MORTGAGE,CO,FEB2000,9 years,52000,Not Verified,10000,0,10000,0,1,0.0686263259,0.09833036061833923,0.12551628685844768
26624,Fully Paid,8000,8000,23.4,311.35,36 months,E,E1,35.56,0,1,0,33.8,26,48,debt_consolidation,MORTGAGE,MI,AUG2009,4 years,71991,Source Verified,8000,0,8000,0,1,0.4323397551,0.28656050283454365,0.26321838497840144
26648,Fully Paid,9600,9600,8.19,301.68,36 months,A,A4,28.56,0,0,0,11,10,22,debt_consolidation,OWN,AL,MAR2007,10+ years,40000,Source Verified,9600,0,9600,0,1,0.0810463933,0.10087208279386878,0.09318522201240317
26655,Fully Paid,25000,25000,13.56,576.02,60 months,C,C1,22.97,0,0,0,65.5,11,21,debt_consolidation,RENT,CA,DEC2000,8 years,58000,Source Verified,25000,0,25000,0,1,0.3099470701,0.20983006736861007,0.1715567968159956
26684,Fully Paid,5000,5000,11.31,164.43,36 months,B,B3,3,0,0,0,10.3,6,19,car,RENT,FL,APR2013,< 1 year,24000,Source Verified,5000,0,5000,0,1,0.1063252302,0.11389324468256186,0.12551628685844768
26695,Fully Paid,3600,3600,7.56,112.09,36 months,A,A3,20.82,0,0,0,87.8,4,28,vacation,MORTGAGE,MS,JUN2001,1 year,35000,Source Verified,3600,0,3600,0,1,0.0441399879,0.08681374464036966,0.09318522201240317
26726,Fully Paid,10000,10000,17.97,253.78,60 months,D,D1,26.07,0,2,0,15.5,27,43,debt_consolidation,RENT,FL,JAN2006,8 years,55000,Not Verified,10000,0,10000,0,1,0.3644295474,0.23911759031033178,0.21124155917823043
26772,Fully Paid,10000,10000,10.33,324.23,36 months,B,B1,16.99,0,0,0,49.3,11,21,debt_consolidation,MORTGAGE,NY,NOV2004,< 1 year,165000,Not Verified,10000,0,10000,0,1,0.1022561939,0.11221346270040984,0.12551628685844768
26787,Fully Paid,22000,22000,8.81,697.66,36 months,A,A5,11.06,0,0,0,18.3,31,53,debt_consolidation,RENT,MI,DEC1996,10+ years,100000,Not Verified,22000,0,22000,0,1,0.0806684012,0.10072809855309654,0.09318522201240317
26821,Fully Paid,1000,1000,13.56,33.97,36 months,C,C1,6.85,0,0,1,13.1,18,61,medical,RENT,CA,MAY2006,10+ years,52892,Source Verified,1000,0,1000,0,1,0.170969054,0.14713128028941977,0.1715567968159956
